Zeit,Kanal A,Kanal B
(s),(mV),(V)

93.46671332,10.54872000,-0.00854518
93.60004672,10.31831000,-0.00732444
93.73338012,10.77303000,-0.00854518
93.86671352,10.51973000,-0.01037629
94.00004692,10.32289000,-0.01037629
94.13338032,10.78219000,-0.00732444
94.26671372,10.52736000,-0.00732444
94.40004712,10.31831000,-0.00854518
94.53338052,10.75320000,-0.01098666
94.66671392,10.53499000,-0.01342814
94.80004732,10.33509000,-0.01098666
94.93338072,10.78066000,-0.00732444
95.06671412,10.55940000,-0.00793481
95.20004752,10.33204000,-0.00732444
95.33338092,10.75930000,-0.01098666
95.46671432,10.55483000,-0.00671407
95.60004772,10.35951000,0.00000000
95.73338112,10.75472000,-0.02990814
95.86671452,10.55177000,-0.01159703
96.00004792,10.38545000,-0.01770074
96.13338132,10.77608000,-0.00732444
96.26671472,10.48769000,-0.00854518
96.40004812,10.43123000,-0.01586962
96.53338152,10.76540000,-0.01098666
96.66671492,10.50600000,-0.00671407
96.80004832,10.46022000,-0.02441481
96.93338172,10.78829000,-0.00915555
97.06671512,10.47090000,-0.01098666
97.20004852,10.52431000,0.00061037
